cidade,id_cidade,escola,id_escola,tipo_adm,has_biblio,has_sala_leitura,qt_salas_utilizadas,qt_bibliotecarios
Cabo de Santo Agostinho,2602902,ESCOLA DE REFERENCIA EM ENSINO MEDIO DESEMBARGADOR ANTONIO DA SILVA GUIMARAES,26129817,2,1,1,15,1
Cabo de Santo Agostinho,2602902,ESCOLA MUNICIPAL DR CLAUDIO GUEIROS LEITE,26129825,3,1,1,9,0
Cabo de Santo Agostinho,2602902,ESCOLA MUNICIPAL DR HUMBERTO DA COSTA SOARES,26129833,3,1,1,11,0
Cabo de Santo Agostinho,2602902,ESCOLA MUNICIPAL DR PAULO DE AMORIM SALGADO,26129841,3,0,0,6,0
Cabo de Santo Agostinho,2602902,ESCOLA MUNICIPAL EDMAR MOURY FERNANDES,26129850,3,0,0,6,0
Cabo de Santo Agostinho,2602902,ESCOLA TECNICA ESTADUAL EPITACIO PESSOA,26129868,2,1,1,14,0
Cabo de Santo Agostinho,2602902,ESCOLA MUNICIPAL JOAQUIM NABUCO,26129876,3,1,1,12,0
Cabo de Santo Agostinho,2602902,ESCOLA MUNICIPAL JOSE CISNEIRO CAVALCANTI,26129892,3,0,0,3,0
Cabo de Santo Agostinho,2602902,ESCOLA DE REFERENCIA EM ENSINO MEDIO LUISA GUERRA,26129922,2,1,1,9,1
Cabo de Santo Agostinho,2602902,ESCOLA MUNICIPAL MANOEL MARIA CAETANO,26129930,3,1,1,12,0
Cabo de Santo Agostinho,2602902,ESCOLA MUNICIPAL MARIA MADALENA TABOSA LOPES,26129949,3,1,1,6,0
Cabo de Santo Agostinho,2602902,ESCOLA MUNICIPAL MARIA TEREZA MENEZES DE OLIVEIRA,26129957,3,0,1,7,0
Cabo de Santo Agostinho,2602902,ESCOLA MUNICIPAL ANIBAL CARDOSO,26129965,3,0,0,4,0
Cabo de Santo Agostinho,2602902,ESCOLA MUNICIPAL MINISTRO ANDRE CAVALCANTI,26129973,3,0,0,13,0
Cabo de Santo Agostinho,2602902,ESCOLA MUNICIPAL DR EUDES SOBRAL,26129981,3,0,0,5,0
Cabo de Santo Agostinho,2602902,ESCOLA MUNICIPAL PRESIDENTE TANCREDO DE ALMEIDA NEVES,26130009,3,0,0,11,0
Cabo de Santo Agostinho,2602902,ESCOLA MUNICIPAL PROFESSORA LUCIA FERREIRA SOARES,26130017,3,0,0,3,0
Cabo de Santo Agostinho,2602902,ESCOLA MUNICIPAL AMARO PE CAVALCANTI,26130025,3,0,0,6,0
Cabo de Santo Agostinho,2602902,ESCOLA MUNICIPAL ARMANDO JORGE SALES,26130033,3,0,0,11,0
Cabo de Santo Agostinho,2602902,ESCOLA MUNICIPAL MONTEIRO LOBATO,26130076,3,0,1,12,0
Cabo de Santo Agostinho,2602902,ESCOLA DE REFERENCIA EM ENSINO MEDIO PASTOR JOSE FLORENCIO RODRIGUES,26130114,2,1,1,15,0
Cabo de Santo Agostinho,2602902,ESCOLA DE REFERENCIA EM ENSINO MEDIO EMIDIO CAVALCANTI DE ALBUQUERQUE,26130149,2,1,1,17,1
Cabo de Santo Agostinho,2602902,ESCOLA MUNICIPAL JOSE PANTALEAO DUTRA JUNIOR,26130157,3,1,1,12,0
Cabo de Santo Agostinho,2602902,ESCOLA MUNICIPAL PROFESSORA GUIOMAR DE ALBUQUERQUE MARANHAO,26130165,3,0,0,2,0
Cabo de Santo Agostinho,2602902,ESCOLA MUNICIPAL PONTE DOS CARVALHOS,26130181,3,1,1,7,0
Cabo de Santo Agostinho,2602902,ESCOLA DE REFERENCIA EM ENSINO MEDIO SENADOR FRANCISCO PESSOA DE QUEIROZ,26130203,2,1,1,13,0
Cabo de Santo Agostinho,2602902,ESCOLA MUNICIPAL NOSSA SENHORA DE FATIMA,26130238,3,0,1,6,0
Cabo de Santo Agostinho,2602902,ESCOLA MUNICIPAL VEREADOR EDVALDO MARTINS,26130246,3,1,1,14,0
Cabo de Santo Agostinho,2602902,ESCOLA MUNICIPAL VICENTE YANEZ PINZON,26130262,3,0,0,4,0
Cabo de Santo Agostinho,2602902,ESCOLA MUNICIPAL PROFESSOR JOSE JOAQUIM DE OLIVEIRA,26130270,3,0,1,6,0
Cabo de Santo Agostinho,2602902,ESCOLA MUNICIPAL PREFEITO VICENTE MENDES SILVA,26130289,3,0,0,4,0
Cabo de Santo Agostinho,2602902,ESCOLA MUNICIPAL EVANDRO CAVALCANTI,26130300,3,0,0,5,0
Cabo de Santo Agostinho,2602902,ESCOLA PROFESSOR NATANAEL BARBOSA MEDRADO,26130319,2,1,1,14,1
Cabo de Santo Agostinho,2602902,ESCOLA MUNICIPAL VEREADOR SEVERINO BEZERRA MARQUES,26130335,3,1,1,5,0
Cabo de Santo Agostinho,2602902,ESCOLA MUNICIPAL ANA MARIA,26130343,3,0,0,16,0
Cabo de Santo Agostinho,2602902,ESCOLA MUNICIPAL ARISTHEU FIGUEIREDO,26130351,3,0,1,7,0
Cabo de Santo Agostinho,2602902,ESCOLA DE REFERENCIA EM ENSINO MEDIO JOSE RODRIGUES DE CARVALHO,26130386,2,1,1,21,0
Cabo de Santo Agostinho,2602902,ESCOLA MUNICIPAL ESTRELIANO DE SOUZA LEAO,26130394,3,0,0,2,0
Cabo de Santo Agostinho,2602902,ESCOLA MUNICIPAL JOAQUIM DE SOUZA LEAO,26130408,3,0,0,3,0
Cabo de Santo Agostinho,2602902,ESCOLA MUNICIPAL RENATO PAULO DE SENA,26130440,3,0,0,10,0
Cabo de Santo Agostinho,2602902,ESCOLA MUNICIPAL VEREADOR GILBERTO FRAGOSO,26130459,3,0,0,2,0
Cabo de Santo Agostinho,2602902,ESCOLA MUNICIPAL PADRE HENRIQUE VIEIRA,26130467,3,0,0,7,0
Cabo de Santo Agostinho,2602902,ESCOLA MUNICIPAL VEREADOR JOSE PROCOPIO NASCIMENTO,26130491,3,0,0,3,0
Cabo de Santo Agostinho,2602902,ESCOLA MUNICIPAL CELMA BARROS CABRAL,26130505,3,0,1,11,0
Cabo de Santo Agostinho,2602902,ESCOLA MUNICIPAL PONTEZINHA,26130513,3,0,1,5,0
Cabo de Santo Agostinho,2602902,ESCOLA DE REFERENCIA EM ENSINO MEDIO ZUMBI DOS PALMARES,26130521,2,1,1,11,1
Cabo de Santo Agostinho,2602902,ESCOLA MUNICIPAL MARQUES DO RECIFE,26130599,3,1,1,12,0
Cabo de Santo Agostinho,2602902,ESCOLA MUNICIPAL ADMINISTRADOR MANOEL VICTOR,26130637,3,0,1,6,0
Cabo de Santo Agostinho,2602902,ESCOLA MUNICIPAL COMENDADOR ARTHUR HERMAN LUNDGREN,26130653,3,0,1,8,0
Cabo de Santo Agostinho,2602902,ESCOLA MUNICIPAL CONDE DA BOA VISTA,26130661,3,1,1,12,0
Cabo de Santo Agostinho,2602902,ESCOLA MUNICIPAL ENGENHO MATAS,26130726,3,0,0,4,0
Cabo de Santo Agostinho,2602902,ESCOLA MUNICIPAL MARIA LAURA DOS SANTOS,26130734,3,0,1,9,0
Cabo de Santo Agostinho,2602902,ESCOLA MUNICIPAL JOSE ALBERTO DE LIMA,26130750,3,1,1,8,0
Cabo de Santo Agostinho,2602902,ESCOLA MUNICIPAL PROFESSORA MARIA JOSE PAIVA,26130777,3,0,1,13,0
Cabo de Santo Agostinho,2602902,ESCOLA MUNICIPAL PROFESSORA CREMILDA MARIA SANTANA DE OLIVEIRA,26130785,3,1,1,12,1
Cabo de Santo Agostinho,2602902,ESCOLA MUNICIPAL PROFESSORA VICENCIA CONCEICAO,26130807,3,0,1,9,0
Cabo de Santo Agostinho,2602902,ESCOLA MUNICIPAL PAULO FREIRE,26130815,3,1,1,8,0
Cabo de Santo Agostinho,2602902,ESCOLA MUNICIPAL SENADOR PAULO GUERRA,26130823,3,0,1,9,0
Cabo de Santo Agostinho,2602902,ESCOLA MUNICIPAL DESEMBARGADOR JOAO PAES,26130882,3,0,0,10,0
Cabo de Santo Agostinho,2602902,ESCOLA MUNICIPAL DR RUI BARBOSA,26130890,3,1,1,11,0
Cabo de Santo Agostinho,2602902,ESCOLA MUNICIPAL JOSE RUFINO DE ARAUJO,26133318,3,1,1,8,0
Cabo de Santo Agostinho,2602902,ESCOLA MUNICIPAL PROFESSOR MANOEL DAVI VIEIRA DA COSTA,26137763,3,1,1,12,0
Cabo de Santo Agostinho,2602902,ESCOLA MUNICIPAL PROFESSORA MARIA THAMAR LEITE DA FONSECA,26137780,3,1,1,12,0
Cabo de Santo Agostinho,2602902,ESCOLA MUNICIPAL CAIC PREFEITO JOSE ALBERTO DE LIMA,26138140,3,1,1,5,0
Cabo de Santo Agostinho,2602902,ESCOLA MUNICIPAL PROFESSORA ANGELICA MENDES,26138557,3,0,0,2,0
Cabo de Santo Agostinho,2602902,ESCOLA MUNICIPAL JULIO CARNEIRO DE ALBUQUERQUE MARANHAO,26138670,3,1,1,7,0
Cabo de Santo Agostinho,2602902,ESCOLA MUNICIPAL ANTONIO LIMA DA SILVA,26148170,3,0,0,4,0
Cabo de Santo Agostinho,2602902,ESCOLA MUNICIPAL SANTO ANTONIO,26148188,3,0,1,4,0
Cabo de Santo Agostinho,2602902,ESCOLA MUNICIPAL JOSE CLARINDO GOMES,26148196,3,1,1,13,0
Cabo de Santo Agostinho,2602902,ESCOLA MUNICIPAL MANOEL NASCIMENTO SOUZA LEAO,26153602,3,0,0,3,0
Cabo de Santo Agostinho,2602902,ESCOLA MUNICIPAL DOUTOR JOAO LOPES,26153610,3,1,1,10,0
Cabo de Santo Agostinho,2602902,ESCOLA MUNICIPAL WOLNEY DA COSTA MACHADO,26153661,3,0,0,5,0
Cabo de Santo Agostinho,2602902,ESCOLA MUNICIPAL ARMINIO GUILHERME DOS SANTOS,26153700,3,0,0,7,0
Cabo de Santo Agostinho,2602902,ESCOLA MUNICIPAL PROFESSOR JASON BRANDAO DA SILVA,26153718,3,1,1,13,0
Cabo de Santo Agostinho,2602902,ESCOLA MUNICIPAL PROFESSOR ARIOSTO NUNES MARTINS,26153734,3,1,1,13,1
Cabo de Santo Agostinho,2602902,ESCOLA ESTADUAL MADRE IVA BEZERRA DE ARAUJO,26153742,2,1,1,15,1
Cabo de Santo Agostinho,2602902,ESCOLA MUNICIPAL VEREADOR JOAO CIRIACO DA SILVA,26153750,3,0,0,9,0
Cabo de Santo Agostinho,2602902,ESCOLA MUNICIPAL DR JOSE ROBERTO MONTEIRO,26154129,3,1,1,12,0
Cabo de Santo Agostinho,2602902,ESCOLA MUNICIPAL MADRE IVA BEZERRA DE ARAUJO,26154226,3,1,1,10,0
Cabo de Santo Agostinho,2602902,ESCOLA MUNICIPAL DR MARIVALDO BUREGIO DE LIMA,26154366,3,0,0,10,1
Cabo de Santo Agostinho,2602902,ESCOLA MUNICIPAL MARIA EULINA DE FREITAS,26157667,3,0,0,5,0
Cabo de Santo Agostinho,2602902,ESCOLA MUNICIPAL ARMINIO DA PAZ,26157691,3,0,0,4,0
Cabo de Santo Agostinho,2602902,ESCOLA MUNICIPAL PROFESSORA LAURA RODRIGUES DA COSTA,26159759,3,0,1,5,0
Cabo de Santo Agostinho,2602902,ESCOLA DE REFERENCIA EM ENSINO FUNDAMENTAL E MEDIO PROFESSORA MARIA EUGENIA LOPES GOMES,26171198,2,1,1,13,0
Cabo de Santo Agostinho,2602902,CENTRO MUNICIPAL DE EDUCACAO INFANTIL PROFESSORA JOSEFA MIGUEL DA HORA,26177412,3,0,1,8,0
Cabo de Santo Agostinho,2602902,CENTRO MUNICIPAL DE EDUCACAO INFANTIL DE PONTEZINHA,26177439,3,0,0,10,0
Cabo de Santo Agostinho,2602902,CENTRO MUNICIPAL DE EDUCACAO INFANTIL - CHARNECA I,26177447,3,0,0,4,0
Cabo de Santo Agostinho,2602902,ESCOLA ESTADUAL FERNANDO SOARES LYRA,26178079,2,1,1,17,0
Cabo de Santo Agostinho,2602902,ESCOLA DE REFERENCIA EM ENSINO MEDIO CABO DE SANTO AGOSTINHO,26178087,2,1,1,15,1
Cabo de Santo Agostinho,2602902,CENTRO DE EDUCACAO INFANTIL SANTO ESTEVAO,26178362,3,0,0,4,0
Cabo de Santo Agostinho,2602902,ESCOLA MUNICIPAL VEREADOR REGINALDO LORETO DA SILVA,26182971,3,1,1,12,0
Cabo de Santo Agostinho,2602902,ESCOLA ESTADUAL COLETTE CATTA,26184699,2,0,0,11,0
Cabo de Santo Agostinho,2602902,IFPE - CAMPUS CABO DE SANTO AGOSTINHO,26184770,1,1,1,12,3
Cabo de Santo Agostinho,2602902,ESCOLA TECNICA ESTADUAL LUIZ ALVES LACERDA,26185768,2,1,1,12,1
Cabo de Santo Agostinho,2602902,CRECHE CELINA DE HOLANDA CAVALCANTI DE ALBUQUERQUE,26190680,3,0,0,7,0
Cabo de Santo Agostinho,2602902,ESCOLA MUNICIPAL GOVERNADOR EDUARDO CAMPOS,26190699,3,1,1,12,0
Cabo de Santo Agostinho,2602902,CENTRO MUNICIPAL DE EDUCACAO INFANTIL PROFESSORA SUELI MESQUITA,26191342,3,0,0,8,0
Cabo de Santo Agostinho,2602902,ESCOLA MUNICIPAL NOVA DE PONTE DOS CARVALHOS,26192411,3,0,0,15,0
Cabo de Santo Agostinho,2602902,ESCOLA MUNICIPAL PADRE ANTONIO MELO COSTA,26200805,3,1,1,12,0
Cabo de Santo Agostinho,2602902,CENTRO EDUCACIONAL PREFEITO ERONIDES FRANCISCO SOARES,26203200,3,1,1,13,0
Cabo de Santo Agostinho,2602902,CENTRO DE EDUCACAO INFANTIL DE PONTEZINHA II,26217805,3,0,0,3,0
Cabo de Santo Agostinho,2602902,CRECHE MUNICIPAL LAR DA CRIANCA,26475723,3,0,0,12,0
Cabo de Santo Agostinho,2602902,CENTRO MUNICIPAL DE EDUCACAO INFANTIL PROFESSORA LUCIA FARIAS CABRAL ROMEU,26528746,3,0,1,15,0
Cabo de Santo Agostinho,2602902,ESCOLA MUNICIPAL PROFESSOR ANTONIO BENEDITO DA ROCHA,26529777,3,0,0,13,1
Cabo de Santo Agostinho,2602902,CENTRO MUNICIPAL DE EDUCACAO INFANTIL - CHARNECA II,26532727,3,0,1,5,0
Camaragibe,2603454,ESCOLA DE REFERENCIA EM ENSINO FUNDAMENTAL E MEDIO ANTONIO CORREIA DE ARAUJO,26107546,2,0,0,12,0
Camaragibe,2603454,ESCOLA DE REFERENCIA EM ENSINO FUNDAMENTAL E MEDIO CONSELHEIRO SAMUEL MAC DOWELL,26107562,2,1,1,19,0
Camaragibe,2603454,ESCOLA DE REFERENCIA EM ENSINO FUNDAMENTAL DEPUTADO OSCAR CARNEIRO,26107570,2,1,1,9,0
Camaragibe,2603454,ESCOLA DE REFERENCIA EM ENSINO FUNDAMENTAL E ENSINO MEDIO FRANCISCO DE PAULA CORREA DE ARAUJO,26107597,2,1,1,19,0
Camaragibe,2603454,ESCOLA DE REFERENCIA EM ENSINO MEDIO FREI CANECA,26107600,2,1,1,18,0
Camaragibe,2603454,ESCOLA JOAQUIM AMAZONAS,26107627,2,1,1,9,0
Camaragibe,2603454,ESCOLA MUNICIPAL JOSE COLLIER,26107635,3,1,1,12,2
Camaragibe,2603454,ESCOLA MINISTRO JARBAS PASSARINHO,26107678,2,1,1,10,0
Camaragibe,2603454,ESCOLA MUNICIPAL PROFESSOR PAULO FREIRE,26107686,3,0,1,8,0
Camaragibe,2603454,ESC MUL ALDO FERREIRA CASTELO BRANCO,26107708,3,0,1,10,0
Camaragibe,2603454,ESCOLA MUNICIPAL CLARA LOPES,26107724,3,1,1,12,2
Camaragibe,2603454,ESCOLA MUNICIPAL ERSINA LAPENDA,26107732,3,1,1,6,1
Camaragibe,2603454,ESCOLA MUL IMACULADA CONCEICAO,26107759,3,0,1,9,1
Camaragibe,2603454,ESCOLA MUNICIPAL JARDIM PRIMAVERA,26107767,3,0,0,4,0
Camaragibe,2603454,ESCOLA MUL NOVA SANTANA,26107783,3,0,0,13,0
Camaragibe,2603454,ESCOLA MUNICIPAL PROFESSORA MARIA LUCIA GONCALVES GUERRA,26107791,3,1,1,10,0
Camaragibe,2603454,ESCOLA MUL SANTO ANTONIO,26107821,3,1,1,7,1
Camaragibe,2603454,ESC MUN CARMELA ORRICO LAPENDA,26107830,3,0,0,9,0
Camaragibe,2603454,ESCOLA MUNICIPAL MANOEL RITO,26107848,3,0,0,2,0
Camaragibe,2603454,ESC MUL MARCELO JOSE A CORREIA DE ARAUJO,26107856,3,0,1,7,0
Camaragibe,2603454,ESC MUL NOSSA SENHORA DO CARMO,26107864,3,0,1,3,0
Camaragibe,2603454,ESCOLA MUNICIPAL SANTA MARIA,26107872,3,1,1,6,0
Camaragibe,2603454,ESCOLA MUNICIPAL RITA NEIVA DE OLIVEIRA,26107880,3,1,1,10,1
Camaragibe,2603454,ESCOLA MUNICIPAL SAO JOSE,26107899,3,1,1,24,1
Camaragibe,2603454,ESCOLA MUNICIPAL XV DE NOVEMBRO,26107902,3,0,0,4,0
Camaragibe,2603454,ESCOLA DE REFERENCIA EM ENSINO MEDIO PROFESSOR ANTONIO CARNEIRO LEAO,26107937,2,1,1,13,3
Camaragibe,2603454,ESCOLA DE REFERENCIA EM ENSINO MEDIO PROFESSOR CARLOS FREDERICO DO REGO MACIEL,26107945,2,1,1,12,0
Camaragibe,2603454,ESCOLA PROFESSOR NELSON CHAVES,26107961,2,1,1,15,0
Camaragibe,2603454,ESCOLA VALE DAS PEDREIRAS,26107996,2,1,1,8,0
Camaragibe,2603454,ESCOLA DE REFERENCIA EM ENSINO MEDIO TITO PEREIRA DE OLIVEIRA,26108038,2,1,1,16,1
Camaragibe,2603454,ESCOLA MAJOR LELIO,26108046,2,1,1,8,0
Camaragibe,2603454,ESCOLA MUNICIPAL 19 DE ABRIL,26108054,3,1,1,5,1
Camaragibe,2603454,ESCOLA MUNICIPAL ANTONIO LUIZ DE SOUZA,26108062,3,0,0,12,0
Camaragibe,2603454,ESCOLA MUNICIPAL PADRE MIGUEL,26108119,3,0,0,8,0
Camaragibe,2603454,ESCOLA MUNICIPAL MANUEL CHAVES DA COSTA,26108232,3,0,1,7,1
Camaragibe,2603454,ESCOLA TIMBI,26108240,2,1,1,14,1
Camaragibe,2603454,ESCOLA MUL SAO VICENTE DE PAULO,26108267,3,0,0,6,0
Camaragibe,2603454,ESCOLA MUNICIPAL JOAO PAULO II,26144050,3,1,1,5,0
Camaragibe,2603454,CRECHE MUL MARIA ALICE GONCALVES GUERRA,26144069,3,0,0,4,0
Camaragibe,2603454,ESCOLA MUN SANTA TERESA,26153696,3,1,1,12,2
Camaragibe,2603454,ESCOLA SANTA SOFIA,26165112,2,1,1,10,0
Camaragibe,2603454,ESCOLA ESTADUAL PIO XII,26174570,2,0,0,10,0
Camaragibe,2603454,ESCOLA TECNICA ESTADUAL ALCIDES DO NASCIMENTO LINS,26176246,2,1,1,12,1
Camaragibe,2603454,CME INFANTIL JUDITH MARIA BRASIL DA ROCHA,26184826,3,1,1,15,2
Camaragibe,2603454,CMEI LUIZ ANTONIO DE PONTES RAMOS,26189267,3,1,1,8,0
Camaragibe,2603454,ESCOLA DE REFERENCIA EM ENSINO FUNDAMENTAL E MEDIO TORQUATO DE CASTRO,26413817,2,1,1,14,0
Goiana,2606200,ESCOLA DE REFERENCIA EM ENSINO MEDIO AUGUSTO GONDIM,26088851,2,1,1,16,2
Goiana,2606200,ESCOLA MUNICIPAL PRESIDENTE COSTA E SILVA,26088878,3,1,1,10,1
Goiana,2606200,ESCOLA DE REFERENCIA EM ENSINO MEDIO DOUTOR JOAO ALFREDO,26088886,2,1,1,7,4
Goiana,2606200,ESCOLA DE REFERENCIA EM ENSINO MEDIO BENIGNO PESSOA DE ARAUJO,26088894,2,1,1,14,0
Goiana,2606200,ESCOLA MUNICIPAL DR MANOEL BORBA,26088940,3,1,1,8,0
Goiana,2606200,ESCOLA MUNICIPAL IRMA MARIE ARMALLE FALGUIERES,26088959,3,1,1,25,1
Goiana,2606200,ESCOLA MUNICIPAL IV CENTENARIO,26088967,3,1,1,13,1
Goiana,2606200,ESCOLA MUNICIPAL DR CLOVIS FONTENELLE GUIMARAES,26088983,3,0,0,5,0
Goiana,2606200,ESCOLA MUNICIPAL PROFESSORA TARCILA COUTINHO AMARAL,26088991,3,0,0,4,0
Goiana,2606200,ESCOLA MUNICIPAL CAPELA DE SAO SEBASTIAO,26089122,3,1,1,16,0
Goiana,2606200,ESCOLA MUNICIPAL PROFESSORA ZILMA GEMIR BARACHO,26089165,3,0,0,8,0
Goiana,2606200,ESCOLA DE REFERENCIA EM ENSINO FUNDAMENTAL ANDRE VIDAL DE NEGREIROS,26089190,2,1,1,8,0
Goiana,2606200,ESCOLA MUNICIPAL DR BENIGNO ARAUJO,26089211,3,0,0,10,0
Goiana,2606200,ESCOLA MUNICIPAL LOURENCO DE ALBUQUERQUE GADELHA,26089220,3,0,0,9,0
Goiana,2606200,ESCOLA CEL JOSE PINTO DE ABREU,26089238,2,1,1,6,1
Goiana,2606200,ESCOLA MUNICIPAL DR LUDOVICO CORREIA,26089254,3,1,1,6,0
Goiana,2606200,ESCOLA MUNICIPAL FRANCISCO NICOLAU DA SILVA,26089262,3,0,0,5,0
Goiana,2606200,ESCOLA MUNICIPAL JOAO CARNEIRO DE MELO,26089270,3,0,0,7,0
Goiana,2606200,ESCOLA MUNICIPAL MAJOR MANOEL GADELHA,26089289,3,0,0,8,0
Goiana,2606200,ESCOLA MUNICIPAL PROFESSORA LIZETE MARIA DE SOUZA RODRIGUES,26089297,3,0,0,6,0
Goiana,2606200,ESCOLA MUNICIPAL CONEGO FERNANDO PASSOS,26089300,3,0,0,6,0
Goiana,2606200,ESCOLA MUNICIPAL DR ARAUJO FILHO,26089319,3,0,0,3,0
Goiana,2606200,ESCOLA MUNICIPAL DIOGO DIAS,26089327,3,1,1,7,0
